operation,numObjects,duration,cpuUsage,memoryUsage
amendProjectPut,1,1082,1.2735702663527613,0
amendProjectPut,200,2470,4.655689651627083,7951624
amendProjectPut,400,3055,4.641245210453811,29663528
amendProjectPut,600,3328,5.376182623060939,13136416
amendProjectPut,800,3701,3.3101388195573698,0
amendProjectPut,1000,4303,4.589502113234071,0
amendProjectPut,1200,4974,3.393304884056065,12011736
createMultipleProjects,1,1019,0.0,0
createMultipleProjects,200,1642,3.048493221373507,35708976
createMultipleProjects,400,2277,4.6745989888081585,0
createMultipleProjects,600,2991,2.7006490678255783,14266360
createMultipleProjects,800,3514,5.091773370482201,1492488
createMultipleProjects,1000,4033,1.9110087380486123,0
createMultipleProjects,1200,4819,16.605095381128642,0
deleteMultipleProjects,1,1013,0.0,0
deleteMultipleProjects,200,1921,0.0,31699952
deleteMultipleProjects,400,3166,0.0,0
deleteMultipleProjects,600,4044,0.0,0
deleteMultipleProjects,800,5137,8.245922532435564,19024072
deleteMultipleProjects,1000,6559,0.0,51610976
deleteMultipleProjects,1200,7874,0.0,186648576
amendProjectPost,1,1022,0.0,0
amendProjectPost,200,1618,11.603428879959063,35653632
amendProjectPost,400,2218,6.319510420341217,0
amendProjectPost,600,2818,0.0,106956800
amendProjectPost,800,4197,2.8148466281855518,142606336
amendProjectPost,1000,4385,4.005399693852401,0
amendProjectPost,1200,5247,12.784433147695442,0
